"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1991","Total","February","Data tabulated by year of occurrence","Final figure, complete","1993","309130",""
"United States of America","1991","Total","March","Data tabulated by year of occurrence","Final figure, complete","1993","344079",""
"United States of America","1991","Total","April","Data tabulated by year of occurrence","Final figure, complete","1993","335626",""
"United States of America","1991","Total","May","Data tabulated by year of occurrence","Final figure, complete","1993","353131",""
"United States of America","1991","Total","June","Data tabulated by year of occurrence","Final figure, complete","1993","334265",""
"United States of America","1991","Total","July","Data tabulated by year of occurrence","Final figure, complete","1993","362913",""
"United States of America","1991","Total","August","Data tabulated by year of occurrence","Final figure, complete","1993","366786",""
"United States of America","1991","Total","September","Data tabulated by year of occurrence","Final figure, complete","1993","356016",""
"United States of America","1991","Total","October","Data tabulated by year of occurrence","Final figure, complete","1993","348934",""
"United States of America","1991","Total","November","Data tabulated by year of occurrence","Final figure, complete","1993","323635",""
"United States of America","1991","Total","December","Data tabulated by year of occurrence","Final figure, complete","1993","341220",""
"United States of America","1990","Total","January","Data tabulated by year of occurrence","Final figure, complete","1991","330000",""
"United States of America","1990","Total","February","Data tabulated by year of occurrence","Final figure, complete","1991","316000",""
"United States of America","1990","Total","March","Data tabulated by year of occurrence","Final figure, complete","1991","342000",""
"United States of America","1990","Total","April","Data tabulated by year of occurrence","Final figure, complete","1991","330000",""
"United States of America","1990","Total","May","Data tabulated by year of occurrence","Final figure, complete","1991","368000",""
"United States of America","1990","Total","June","Data tabulated by year of occurrence","Final figure, complete","1991","361000",""
"United States of America","1990","Total","July","Data tabulated by year of occurrence","Final figure, complete","1991","364000",""
"United States of America","1990","Total","August","Data tabulated by year of occurrence","Final figure, complete","1991","362000",""
"United States of America","1990","Total","September","Data tabulated by year of occurrence","Final figure, complete","1991","362000",""
"United States of America","1990","Total","October","Data tabulated by year of occurrence","Final figure, complete","1991","361000",""
"United States of America","1990","Total","November","Data tabulated by year of occurrence","Final figure, complete","1991","333000",""
